year,births,deaths,rate
1784.0,1261.0,11.0,0.9
1785.0,1292.0,8.0,0.6
1786.0,1351.0,8.0,0.6
1787.0,1347.0,10.0,0.7
1788.0,1469.0,23.0,1.6
1789.0,1435.0,25.0,1.7
1790.0,1546.0,12.0,0.8
1791.0,1602.0,25.0,1.6
1792.0,1631.0,10.0,0.6
1793.0,1747.0,19.0,1.1
1794.0,1543.0,20.0,1.3
1795.0,1503.0,7.0,0.5
1796.0,1621.0,10.0,0.6
1797.0,1712.0,13.0,0.8
1798.0,1604.0,8.0,0.5
1799.0,1537.0,10.0,0.7
1800.0,1837.0,18.0,1.0
1801.0,1725.0,30.0,1.7
1802.0,1985.0,26.0,1.3
1803.0,2028.0,44.0,2.2
1804.0,1915.0,16.0,0.8
1805.0,2220.0,12.0,0.5
1806.0,2406.0,23.0,1.0
1807.0,2511.0,12.0,0.5
1808.0,2665.0,13.0,0.5
1809.0,2889.0,21.0,0.7
1810.0,2854.0,29.0,1.0
1811.0,2561.0,24.0,0.9
1812.0,2676.0,43.0,1.6
1813.0,2484.0,62.0,2.5
1814.0,2508.0,25.0,1.0
1815.0,3075.0,17.0,0.6
1816.0,3314.0,18.0,0.5
1817.0,3473.0,32.0,0.9
1818.0,3539.0,56.0,1.6
1819.0,3197.0,94.0,2.9
1820.0,2458.0,70.0,2.8
1821.0,2849.0,22.0,0.8
1822.0,2675.0,12.0,0.4
1823.0,2584.0,59.0,2.3
1824.0,2446.0,20.0,0.8
1825.0,2740.0,26.0,0.9
1826.0,2440.0,81.0,3.3
1827.0,2550.0,33.0,1.3
1828.0,2856.0,43.0,1.5
1829.0,2141.0,34.0,1.6
1830.0,2288.0,12.0,0.5
1831.0,2176.0,12.0,0.6
1832.0,2242.0,12.0,0.5
1833.0,2138.0,12.0,0.6
1834.0,2024.0,34.0,1.7
1835.0,1902.0,34.0,1.8
1836.0,1810.0,36.0,2.0
1837.0,1833.0,24.0,1.3
1838.0,2126.0,45.0,2.1
1839.0,1951.0,25.0,1.3
1840.0,1521.0,26.0,1.7
1841.0,2003.0,23.0,1.1
1842.0,2171.0,21.0,1.0
1843.0,2210.0,22.0,1.0
1844.0,2288.0,14.0,0.6
1845.0,1411.0,35.0,2.5
1846.0,2025.0,17.0,0.8
1847.0,1703.0,47.0,2.8
1848.0,1816.0,35.0,1.9
1849.0,2063.0,38.0,1.8
