year,first_births,first_deaths,second_births,second_deaths
1784.0,284.0,6.0,,
1785.0,899.0,13.0,,
1786.0,1151.0,5.0,,
1787.0,1407.0,5.0,,
1788.0,1425.0,5.0,,
1789.0,1246.0,7.0,,
1790.0,1326.0,10.0,,
1791.0,1395.0,8.0,,
1792.0,1579.0,14.0,,
1793.0,1684.0,44.0,,
1794.0,1768.0,7.0,,
1795.0,1798.0,38.0,,
1796.0,1904.0,22.0,,
1797.0,2012.0,5.0,,
1798.0,2046.0,5.0,,
1799.0,2067.0,20.0,,
1800.0,2070.0,41.0,,
1801.0,2106.0,17.0,,
1802.0,2346.0,9.0,,
1803.0,2215.0,16.0,,
1804.0,2022.0,8.0,,
1805.0,2112.0,9.0,,
1806.0,1875.0,13.0,,
1807.0,925.0,6.0,,
1808.0,855.0,7.0,,
1809.0,912.0,13.0,,
1810.0,744.0,6.0,,
1811.0,1050.0,20.0,,
1812.0,1419.0,9.0,,
1813.0,1945.0,21.0,,
1814.0,2062.0,66.0,,
1815.0,2591.0,19.0,,
1816.0,2410.0,12.0,,
1817.0,2735.0,25.0,,
1818.0,2568.0,56.0,,
1819.0,3089.0,154.0,,
1820.0,2998.0,75.0,,
1821.0,3294.0,55.0,,
1822.0,3066.0,26.0,,
1823.0,2872.0,214.0,,
1824.0,2911.0,144.0,,
1825.0,2594.0,229.0,,
1826.0,2359.0,192.0,,
1827.0,2367.0,51.0,,
1828.0,2833.0,101.0,,
1829.0,3012.0,140.0,,
1830.0,2797.0,111.0,,
1831.0,3353.0,222.0,,
1832.0,3331.0,105.0,,
1833.0,3737.0,197.0,353.0,8.0
1834.0,2657.0,205.0,1744.0,150.0
1835.0,2573.0,143.0,1682.0,84.0
1836.0,2677.0,200.0,1670.0,131.0
1837.0,2765.0,251.0,1784.0,124.0
1838.0,2987.0,91.0,1779.0,88.0
1839.0,2781.0,151.0,2010.0,91.0
1840.0,2889.0,267.0,2073.0,55.0
1841.0,3036.0,237.0,2442.0,86.0
1842.0,3287.0,518.0,2659.0,202.0
1843.0,3060.0,274.0,2739.0,164.0
1844.0,3157.0,260.0,2956.0,68.0
1845.0,3492.0,241.0,3241.0,66.0
1846.0,4010.0,459.0,3754.0,105.0
1847.0,3490.0,176.0,3306.0,32.0
1848.0,3556.0,45.0,3319.0,43.0
1849.0,3858.0,103.0,3371.0,87.0
1850.0,3745.0,74.0,3261.0,54.0
1851.0,4194.0,75.0,3395.0,121.0
1852.0,4471.0,181.0,3360.0,192.0
1853.0,4221.0,94.0,3480.0,67.0
1854.0,4393.0,400.0,3396.0,210.0
1855.0,3659.0,198.0,2938.0,174.0
1856.0,3925.0,156.0,3070.0,125.0
1857.0,4220.0,124.0,3795.0,83.0
1858.0,4203.0,86.0,4179.0,60.0
