year,first_births,first_deaths,first_rate,second_births,second_deaths,second_rate,note
1833.0,3737.0,197.0,5.3,353.0,8.0,2.3,
1834.0,2657.0,205.0,7.7,1744.0,150.0,8.6,
1835.0,2573.0,143.0,5.6,1682.0,84.0,5.0,
1836.0,2677.0,200.0,7.5,1670.0,131.0,7.8,
1837.0,2765.0,251.0,9.1,1784.0,124.0,7.0,
1838.0,2987.0,91.0,3.0,1779.0,88.0,4.9,
1839.0,2781.0,151.0,5.4,2010.0,91.0,4.5,
1840.0,2889.0,267.0,9.2,2073.0,55.0,2.7,
1841.0,3036.0,237.0,7.8,2442.0,86.0,3.5,
1842.0,3287.0,518.0,15.8,2659.0,202.0,7.6,
1843.0,3060.0,274.0,9.0,2739.0,164.0,6.0,
1844.0,3157.0,260.0,8.2,2956.0,68.0,2.3,
1845.0,3492.0,241.0,6.9,3241.0,66.0,2.0,
1846.0,4010.0,459.0,11.4,3754.0,105.0,2.8,
1847.0,3490.0,176.0,5.0,3306.0,32.0,1.0,
1848.0,3556.0,45.0,1.3,3319.0,43.0,1.3,
1849.0,3858.0,103.0,2.7,3371.0,87.0,2.6,
1850.0,3745.0,74.0,2.0,3261.0,54.0,1.7,
1851.0,4194.0,75.0,1.8,3395.0,121.0,3.6,
1852.0,4471.0,181.0,4.0,3360.0,192.0,5.7,
1853.0,4221.0,94.0,2.2,3480.0,67.0,1.9,
1854.0,4393.0,400.0,9.1,3396.0,210.0,6.2,
1855.0,3659.0,198.0,5.4,2938.0,174.0,5.9,
1856.0,3925.0,156.0,4.0,3070.0,125.0,4.1,
1857.0,4220.0,124.0,2.9,3795.0,83.0,2.2,
1858.0,4203.0,86.0,2.0,4179.0,60.0,1.4,
